session_id,user_id,amount_paid,payment_method,payment_status
231,99,149.71,Net Banking,Completed
232,142,185.85,Debit Card,Completed
233,29,425.08,Debit Card,Completed
234,60,90.72,Debit Card,Completed
235,14,314.3,Net Banking,Completed
236,162,448.47,Debit Card,Completed
237,123,86.91,UPI,Completed
238,155,126.51,Credit Card,Completed
239,78,96.57,Credit Card,Completed
240,186,97.94,Debit Card,Completed
241,126,411.09,Credit Card,Completed
242,75,331.55,Net Banking,Completed
243,88,150.66,UPI,Completed
244,92,243.85,Net Banking,Failed
245,56,309.53,UPI,Completed
246,86,364.35,Net Banking,Completed
247,92,211.36,Debit Card,Completed
248,24,211.84,Credit Card,Completed
249,200,226.31,Net Banking,Completed
250,142,123.15,Debit Card,Completed
251,21,68.88,UPI,Completed
252,36,329.08,UPI,Completed
253,164,257.04,Credit Card,Completed
254,198,177.33,Credit Card,Completed
255,38,251.79,Debit Card,Completed
256,151,92.71,UPI,Completed
257,162,223.7,UPI,Failed
258,19,328.04,Net Banking,Completed
259,129,469.01,Credit Card,Completed
260,32,274.23,UPI,Completed
261,31,160.5,Debit Card,Completed
262,174,250.15,Debit Card,Completed
263,131,146.73,UPI,Completed
264,150,458.61,UPI,Completed
265,19,468.85,Debit Card,Completed
266,81,73.57,Debit Card,Completed
267,100,386.34,Net Banking,Completed
268,13,247.64,Debit Card,Completed
269,73,421.51,UPI,Completed
270,125,315.61,Net Banking,Completed
271,189,190.63,Net Banking,Failed
272,100,61.49,Credit Card,Completed
273,138,446.07,Debit Card,Completed
274,32,317.59,Debit Card,Completed
275,50,184.13,Debit Card,Completed
276,64,101.62,UPI,Completed
277,108,299.74,UPI,Completed
278,48,365.56,Credit Card,Completed
279,129,329.49,Debit Card,Completed
280,174,57.44,UPI,Completed
281,125,450.65,Credit Card,Completed
282,55,245.81,Credit Card,Completed
283,39,82.49,Net Banking,Completed
284,37,370.05,UPI,Completed
285,159,262.56,Debit Card,Completed
286,34,223.43,UPI,Completed
287,100,298.41,UPI,Completed
288,106,197.04,UPI,Completed
289,119,157.24,Net Banking,Failed
290,127,458.45,Net Banking,Completed
291,27,412.06,Debit Card,Completed
292,47,199.83,Net Banking,Completed
293,19,180.64,Credit Card,Completed
294,89,390.11,Debit Card,Completed
295,42,397.52,Net Banking,Completed
296,20,52.74,Debit Card,Completed
297,3,433.04,UPI,Completed
298,43,251.16,Credit Card,Completed
299,50,93.54,Debit Card,Completed
300,158,329.32,UPI,Completed
301,194,194.35,Credit Card,Completed
302,22,468.09,Credit Card,Completed
303,119,411.71,Debit Card,Completed
304,90,125.58,UPI,Completed
305,79,398.11,Debit Card,Completed
306,122,163.97,Debit Card,Completed
307,87,179.42,Debit Card,Completed
308,140,492.72,Net Banking,Completed
309,55,101.73,UPI,Completed
310,25,385.07,UPI,Completed
311,70,385.26,Net Banking,Completed
312,7,144.23,UPI,Completed
313,62,447.05,UPI,Completed
314,42,90.1,UPI,Completed
315,189,372.59,Net Banking,Completed
316,108,50.15,Net Banking,Failed
317,176,369.9,UPI,Completed
318,141,328.35,Credit Card,Completed
319,141,220.52,Net Banking,Completed
320,46,342.53,Debit Card,Completed
321,38,349.88,Credit Card,Completed
322,83,325.51,Debit Card,Completed
323,54,140.7,UPI,Completed
324,41,188.55,Net Banking,Completed
325,137,443.51,UPI,Completed
326,1,425.98,Debit Card,Completed
327,33,201.43,Debit Card,Completed
328,141,494.8,UPI,Completed
329,21,476.11,Credit Card,Completed
330,115,370.51,UPI,Completed
331,16,142.66,Net Banking,Completed
332,24,154.14,Debit Card,Completed
333,191,264.7,UPI,Completed
334,55,83.68,Credit Card,Completed
335,109,454.13,Net Banking,Completed
336,88,233.7,Debit Card,Completed
337,10,210.67,Debit Card,Completed
338,110,254.0,Debit Card,Completed
339,106,465.32,Debit Card,Completed
340,71,459.93,Credit Card,Completed
341,164,165.41,Credit Card,Completed
342,167,297.08,Debit Card,Completed
343,66,244.7,Credit Card,Completed
344,34,70.66,UPI,Completed
345,102,286.06,Debit Card,Completed
346,98,395.4,Debit Card,Completed
347,162,397.77,Credit Card,Failed
348,132,380.28,UPI,Completed
349,87,141.54,Debit Card,Completed
350,102,82.94,UPI,Completed
351,123,126.07,Credit Card,Completed
352,179,54.46,Credit Card,Completed
353,162,390.1,Credit Card,Completed
354,4,142.05,UPI,Completed
355,78,245.95,UPI,Completed
356,163,91.68,Credit Card,Completed
357,80,292.27,Debit Card,Completed
358,172,233.8,Net Banking,Completed
359,31,172.91,UPI,Completed
360,170,477.51,UPI,Completed
361,157,189.69,Debit Card,Completed
362,138,351.35,UPI,Completed
363,12,483.7,UPI,Completed
364,154,364.09,Credit Card,Completed
365,58,359.32,Debit Card,Completed
366,74,402.53,Credit Card,Completed
367,63,342.47,Net Banking,Completed
368,97,234.12,Net Banking,Completed
369,150,155.3,Net Banking,Completed
370,164,480.5,Net Banking,Completed
371,185,340.58,Net Banking,Completed
372,122,53.14,Credit Card,Completed
373,173,219.19,UPI,Completed
374,195,68.54,Net Banking,Completed
375,97,435.77,Debit Card,Completed
376,93,149.34,Net Banking,Failed
377,101,292.6,Net Banking,Completed
378,75,140.28,Net Banking,Completed
379,100,337.27,UPI,Completed
380,30,343.35,Debit Card,Completed
381,190,394.15,Debit Card,Completed
382,42,286.61,Debit Card,Completed
383,166,424.65,Net Banking,Completed
384,192,392.86,UPI,Completed
385,158,282.54,UPI,Completed
386,98,433.56,Net Banking,Completed
387,36,105.22,Debit Card,Completed
388,85,113.11,UPI,Completed
389,34,495.45,Credit Card,Completed
390,132,108.85,UPI,Completed
391,96,333.81,UPI,Failed
392,101,337.56,Debit Card,Completed
393,89,224.18,Credit Card,Completed
394,191,246.04,Credit Card,Completed
395,26,282.66,Net Banking,Completed
396,90,264.52,Net Banking,Completed
397,38,333.69,Credit Card,Completed
398,196,78.59,Credit Card,Completed
399,128,153.3,UPI,Completed
400,192,305.09,UPI,Completed
401,78,303.18,Net Banking,Completed
402,97,158.7,UPI,Completed
403,107,91.83,Credit Card,Completed
404,6,144.3,Net Banking,Completed
405,22,288.34,Debit Card,Completed
406,169,221.95,Credit Card,Completed
407,142,183.12,Credit Card,Completed
408,28,71.79,UPI,Completed
409,35,73.69,Debit Card,Completed
410,129,415.7,Debit Card,Completed
411,56,297.41,Credit Card,Completed
412,45,470.03,Debit Card,Completed
413,177,160.57,Debit Card,Completed
414,112,112.48,Net Banking,Completed
415,52,63.52,Debit Card,Completed
416,60,317.07,Credit Card,Completed
417,18,317.1,Credit Card,Completed
418,97,146.85,UPI,Completed
419,12,233.87,UPI,Completed
420,171,103.88,Net Banking,Completed
421,199,116.36,Net Banking,Completed
422,34,334.02,Debit Card,Completed
423,52,191.98,Net Banking,Completed
424,181,185.99,Credit Card,Completed
425,70,320.03,Net Banking,Completed
426,82,161.01,UPI,Completed
427,183,57.21,Debit Card,Completed
428,11,187.48,Credit Card,Completed
429,42,443.3,Credit Card,Completed
430,160,444.08,UPI,Completed
431,4,463.39,Debit Card,Completed
432,171,136.98,Credit Card,Completed
433,95,351.43,UPI,Completed
434,135,271.49,Credit Card,Completed
435,65,168.43,Credit Card,Completed
436,5,339.66,UPI,Completed
437,133,324.51,Debit Card,Completed
438,64,115.18,UPI,Completed
439,193,392.44,Credit Card,Completed
440,87,459.79,Net Banking,Completed
441,158,189.04,Debit Card,Completed
442,23,94.63,Credit Card,Completed
443,88,213.57,Net Banking,Completed
444,50,432.1,Credit Card,Completed
445,27,258.02,UPI,Completed
446,119,393.76,Debit Card,Completed
447,57,313.42,Net Banking,Completed
448,140,489.09,Net Banking,Completed
449,131,300.69,Credit Card,Completed
450,13,402.21,Debit Card,Completed
451,3,223.12,UPI,Completed
452,92,252.09,Net Banking,Completed
453,118,171.63,Net Banking,Completed
454,122,164.15,Debit Card,Completed
455,122,298.86,Debit Card,Completed
456,36,352.04,UPI,Completed
457,129,66.1,Credit Card,Completed
458,62,67.61,UPI,Completed
459,78,62.53,Debit Card,Failed
460,102,289.94,UPI,Completed
461,147,312.45,Debit Card,Completed
462,164,297.1,UPI,Completed
463,11,267.8,Net Banking,Completed
464,20,302.23,UPI,Completed
465,156,185.45,UPI,Completed
466,10,461.47,UPI,Completed
467,113,432.92,Debit Card,Completed
468,167,275.35,Net Banking,Completed
469,123,325.2,Debit Card,Completed
470,13,324.39,Credit Card,Completed
471,103,158.38,Credit Card,Completed
472,70,121.74,Debit Card,Completed
473,87,450.48,Credit Card,Completed
474,63,226.13,UPI,Completed
475,13,458.94,Net Banking,Completed
476,67,362.04,Debit Card,Completed
477,60,379.23,Debit Card,Completed
478,129,132.2,Net Banking,Completed
479,25,449.47,Net Banking,Completed
480,107,407.28,Debit Card,Completed
481,133,76.32,Net Banking,Completed
482,147,454.81,Net Banking,Completed
483,46,295.43,Net Banking,Completed
484,200,363.46,UPI,Completed
485,73,421.89,Credit Card,Completed
486,145,153.65,UPI,Completed
487,87,204.47,Net Banking,Completed
488,107,413.03,Net Banking,Completed
489,80,217.05,Credit Card,Completed
490,128,344.28,Debit Card,Completed
491,21,418.46,UPI,Completed
492,49,398.66,Debit Card,Completed
493,88,322.12,Credit Card,Completed
494,67,465.96,Credit Card,Completed
495,49,184.03,Credit Card,Completed
496,140,242.87,Net Banking,Completed
497,153,397.71,UPI,Completed
498,144,392.85,Debit Card,Completed
499,112,346.82,Credit Card,Completed
500,154,106.51,Net Banking,Completed
501,128,310.31,Net Banking,Completed
502,134,484.66,Net Banking,Completed
503,23,168.77,Credit Card,Completed
504,55,81.04,Credit Card,Completed
505,52,56.65,Debit Card,Completed
506,163,321.55,Debit Card,Completed
507,158,73.47,UPI,Completed
508,141,466.3,Net Banking,Completed
509,45,447.88,Credit Card,Failed
510,59,455.54,Debit Card,Completed
511,125,341.71,UPI,Completed
512,21,63.96,UPI,Completed
513,64,302.83,Credit Card,Completed
514,175,84.88,Net Banking,Completed
515,98,86.96,Debit Card,Completed
516,76,75.06,Net Banking,Completed
517,47,104.65,Net Banking,Completed
518,95,287.98,Debit Card,Completed
519,111,305.09,UPI,Completed
520,12,399.59,Debit Card,Completed
521,199,402.46,Net Banking,Completed
522,96,184.2,UPI,Completed
523,35,250.08,Net Banking,Completed
524,42,278.85,Net Banking,Completed
525,150,52.37,Debit Card,Completed
526,92,444.78,UPI,Completed
527,82,274.08,UPI,Completed
528,58,310.6,UPI,Completed
529,135,154.34,Credit Card,Completed
530,140,399.22,Credit Card,Completed
531,190,212.63,Net Banking,Completed
532,113,357.95,Net Banking,Completed
533,111,282.12,Net Banking,Completed
534,148,429.93,Credit Card,Completed
535,8,289.26,Net Banking,Completed
536,58,429.63,Credit Card,Completed
537,145,198.4,Debit Card,Completed
538,71,207.54,Net Banking,Completed
539,169,368.81,UPI,Completed
540,191,361.2,Credit Card,Completed
541,195,100.04,Credit Card,Completed
542,11,189.04,Debit Card,Completed
543,42,107.91,Debit Card,Completed
544,171,154.97,Debit Card,Completed
545,169,217.43,Net Banking,Completed
546,158,491.13,Credit Card,Completed
547,75,217.05,Debit Card,Completed
548,75,251.2,Credit Card,Completed
549,160,84.38,Net Banking,Completed
550,82,217.06,Net Banking,Completed
551,100,186.19,Net Banking,Completed
552,165,214.69,UPI,Completed
553,62,103.34,Credit Card,Completed
554,82,345.6,Debit Card,Completed
555,114,84.95,Net Banking,Completed
556,156,363.32,UPI,Completed
557,26,156.17,Debit Card,Completed
558,176,363.57,UPI,Completed
559,183,251.83,Net Banking,Completed
560,112,482.19,Credit Card,Completed
561,140,225.41,UPI,Completed
562,177,418.06,Credit Card,Completed
563,93,472.63,Net Banking,Completed
564,17,66.8,Credit Card,Completed
565,195,319.84,Credit Card,Completed
566,162,166.94,UPI,Completed
567,124,155.41,UPI,Completed
568,177,280.17,Net Banking,Completed
569,143,473.36,UPI,Completed
570,169,77.87,UPI,Failed
571,66,481.61,Credit Card,Completed
572,175,412.97,Net Banking,Completed
573,23,455.09,Credit Card,Completed
574,193,72.66,UPI,Completed
575,169,185.33,Debit Card,Completed
576,193,105.0,Credit Card,Completed
577,160,230.7,Credit Card,Completed
578,61,128.1,Net Banking,Completed
579,127,81.11,UPI,Completed
580,29,341.14,Net Banking,Completed
581,125,290.3,Net Banking,Completed
582,186,446.88,UPI,Completed
583,84,120.22,Debit Card,Completed
584,97,206.54,Debit Card,Completed
585,107,312.23,UPI,Completed
586,44,86.44,UPI,Completed
587,69,451.51,Net Banking,Completed
588,94,484.67,UPI,Completed
589,27,292.18,UPI,Completed
590,180,422.56,Credit Card,Completed
591,85,271.26,UPI,Completed
592,48,93.05,Net Banking,Completed
593,58,230.86,UPI,Completed
594,42,286.5,Net Banking,Completed
595,200,379.55,UPI,Completed
596,157,110.88,Credit Card,Completed
597,161,248.1,Debit Card,Completed
598,141,363.04,Credit Card,Completed
599,89,334.8,Credit Card,Completed
600,111,87.82,Credit Card,Completed
601,200,201.4,Credit Card,Completed
602,189,71.53,Debit Card,Completed
603,40,117.33,Credit Card,Completed
604,46,144.06,UPI,Completed
605,162,236.83,Credit Card,Completed
606,95,275.38,Net Banking,Completed
607,61,420.3,Net Banking,Completed
608,163,399.97,Net Banking,Completed
609,195,274.98,Credit Card,Completed
610,158,189.26,UPI,Completed
611,121,109.8,Credit Card,Completed
612,168,447.52,Credit Card,Completed
613,64,255.33,Debit Card,Completed
614,151,328.31,Net Banking,Completed
615,54,362.97,Credit Card,Completed
616,193,385.22,Net Banking,Completed
617,27,420.53,Credit Card,Completed
618,69,270.76,Credit Card,Completed
619,44,244.96,Debit Card,Completed
620,176,388.81,Debit Card,Completed
621,138,212.61,Credit Card,Failed
622,71,74.56,UPI,Completed
623,158,417.18,Net Banking,Completed
624,6,343.93,UPI,Completed
625,2,256.6,Net Banking,Completed
626,125,491.13,UPI,Completed
627,87,354.29,Debit Card,Completed
628,27,110.27,Credit Card,Completed
629,94,207.85,Credit Card,Completed
630,134,290.75,Net Banking,Completed
631,145,406.57,Credit Card,Completed
632,155,433.56,Credit Card,Completed
633,45,316.09,Net Banking,Completed
634,27,84.78,Credit Card,Completed
635,79,218.73,Debit Card,Completed
636,89,202.13,UPI,Completed
637,137,446.08,Credit Card,Completed
638,20,119.09,Debit Card,Completed
639,120,168.59,Credit Card,Completed
640,60,71.28,Net Banking,Completed
641,76,259.65,Credit Card,Completed
642,175,122.65,UPI,Completed
643,22,489.44,Credit Card,Completed
644,195,244.14,Credit Card,Completed
645,190,457.66,Credit Card,Completed
646,58,141.17,Credit Card,Completed
647,155,307.21,UPI,Failed
648,54,383.49,Credit Card,Completed
649,113,407.66,Net Banking,Completed
650,197,349.49,Credit Card,Completed
651,122,499.56,Net Banking,Completed
652,151,372.33,Net Banking,Completed
653,83,325.29,Debit Card,Completed
654,167,443.66,Credit Card,Completed
655,194,373.2,Credit Card,Completed
656,133,108.64,Debit Card,Completed
657,126,396.05,Debit Card,Completed
658,148,117.8,Debit Card,Completed
659,92,116.9,UPI,Completed
660,136,180.71,Debit Card,Completed
661,113,385.96,Net Banking,Completed
662,118,312.94,Credit Card,Completed
663,99,205.72,UPI,Completed
664,89,410.43,Credit Card,Completed
665,58,92.32,Debit Card,Completed
666,70,183.76,UPI,Completed
667,45,431.71,Credit Card,Completed
668,14,213.08,Net Banking,Completed
669,167,196.82,Credit Card,Completed
670,1,290.81,UPI,Completed
671,114,458.86,Debit Card,Completed
672,180,482.94,Credit Card,Completed
673,197,85.68,UPI,Completed
674,46,476.81,Debit Card,Completed
675,151,482.35,UPI,Completed
676,31,207.22,UPI,Completed
677,33,58.14,Credit Card,Completed
678,120,208.77,UPI,Completed
679,96,396.71,UPI,Completed
680,46,105.13,Net Banking,Completed
681,101,160.13,Credit Card,Completed
682,132,103.82,Debit Card,Completed
683,189,65.37,Net Banking,Completed
684,164,426.94,UPI,Completed
685,20,318.57,Debit Card,Completed
686,99,444.52,Debit Card,Completed
687,146,105.52,Credit Card,Completed
688,4,356.02,UPI,Completed
689,189,308.77,Credit Card,Completed
690,66,427.01,Net Banking,Completed
691,144,266.16,UPI,Completed
692,106,179.37,Net Banking,Completed
693,9,278.68,UPI,Completed
694,121,264.73,UPI,Completed
695,53,358.76,Credit Card,Completed
696,151,474.87,Debit Card,Completed
697,11,214.98,Credit Card,Completed
698,45,306.86,Credit Card,Completed
699,141,209.84,Credit Card,Completed
700,4,301.0,UPI,Completed
701,23,460.67,UPI,Completed
702,141,198.29,Credit Card,Completed
703,154,469.57,Net Banking,Completed
704,182,395.9,Net Banking,Completed
705,91,377.01,Credit Card,Completed
706,41,412.59,UPI,Completed
707,170,294.77,Net Banking,Completed
708,129,142.57,Net Banking,Completed
709,184,495.36,Debit Card,Completed
710,60,177.47,Credit Card,Completed
711,181,177.45,Net Banking,Completed
712,156,287.42,Debit Card,Completed
713,41,235.04,UPI,Completed
714,22,89.08,Net Banking,Completed
715,199,256.33,UPI,Completed
716,77,202.83,Debit Card,Completed
717,136,461.6,UPI,Completed
718,132,452.37,Debit Card,Completed
719,28,322.53,Net Banking,Completed
720,186,370.72,UPI,Completed
721,89,314.64,Debit Card,Completed
722,178,153.96,Debit Card,Completed
723,175,390.41,Credit Card,Completed
724,37,172.23,Credit Card,Completed
725,9,214.53,Net Banking,Completed
726,138,429.31,UPI,Completed
727,130,214.27,UPI,Completed
728,167,71.67,Credit Card,Completed
729,149,60.7,UPI,Completed
730,46,379.06,UPI,Completed
731,90,70.37,Credit Card,Completed
732,173,498.07,UPI,Completed
733,90,496.76,Debit Card,Completed
734,198,238.82,UPI,Completed
735,65,161.41,UPI,Completed
736,104,413.42,Debit Card,Completed
737,59,378.62,Credit Card,Completed
738,199,473.02,Credit Card,Completed
739,71,147.76,UPI,Completed
740,104,476.48,Credit Card,Completed
741,18,319.36,Net Banking,Completed
742,12,298.75,Debit Card,Completed
743,18,330.93,Net Banking,Completed
744,38,171.94,Net Banking,Completed
745,95,216.94,Credit Card,Completed
746,186,447.96,Net Banking,Completed
747,114,346.24,Debit Card,Completed
748,13,438.9,Debit Card,Completed
749,146,179.14,Debit Card,Completed
750,127,83.02,UPI,Failed
751,37,110.82,Credit Card,Completed
752,161,166.24,UPI,Completed
753,128,272.41,Debit Card,Completed
754,132,136.29,UPI,Completed
755,119,355.36,Debit Card,Completed
756,118,400.18,Credit Card,Completed
757,166,370.88,Credit Card,Completed
758,200,377.53,UPI,Completed
759,190,306.58,Debit Card,Completed
760,6,385.01,UPI,Completed
761,146,448.15,Net Banking,Completed
762,19,337.57,Debit Card,Completed
763,19,474.53,Credit Card,Completed
764,82,301.98,Net Banking,Completed
765,34,350.36,Debit Card,Completed
766,139,264.16,Debit Card,Completed
767,50,297.95,Net Banking,Completed
768,10,389.54,Credit Card,Completed
769,155,499.25,Credit Card,Completed
770,133,71.42,Debit Card,Completed
771,105,296.07,Credit Card,Completed
772,90,234.22,Debit Card,Completed
773,115,468.25,Debit Card,Failed
774,72,119.71,Credit Card,Completed
775,98,420.67,Net Banking,Completed
776,18,108.69,Credit Card,Completed
777,113,397.79,Credit Card,Completed
778,18,451.74,UPI,Completed
779,103,385.93,Net Banking,Completed
780,103,477.25,Credit Card,Completed
781,59,320.14,UPI,Completed
782,88,176.43,Net Banking,Completed
783,184,440.34,Credit Card,Completed
784,163,387.38,UPI,Completed
785,197,427.3,Credit Card,Completed
786,131,288.08,UPI,Completed
787,114,429.03,Credit Card,Completed
788,26,101.83,Credit Card,Completed
789,71,463.84,Credit Card,Completed
790,139,151.66,Debit Card,Completed
791,20,403.49,UPI,Completed
792,174,50.44,Debit Card,Completed
793,80,468.38,Debit Card,Completed
794,85,478.22,UPI,Completed
795,182,471.26,Net Banking,Completed
796,183,296.93,Net Banking,Completed
797,36,129.71,Debit Card,Completed
798,176,83.86,Credit Card,Completed
