session_id,station_id,user_id,vehicle_id,start_time,end_time,energy_kwh,amount_paid
309,3,55,37,2025-01-13 20:00:00,2025-01-13 21:28:00,20.11,101.73
310,16,25,150,2025-01-13 21:00:00,2025-01-13 22:11:00,19.88,385.07
311,12,70,105,2025-01-13 22:00:00,2025-01-13 23:55:00,11.82,385.26
312,15,7,42,2025-01-13 23:00:00,2025-01-13 23:44:00,17.89,144.23
313,20,62,170,2025-01-14 00:00:00,2025-01-14 00:32:00,6.77,447.05
314,10,42,149,2025-01-14 01:00:00,2025-01-14 01:43:00,23.49,90.1
315,4,189,63,2025-01-14 02:00:00,2025-01-14 03:13:00,25.55,372.59
316,17,108,8,2025-01-14 03:00:00,2025-01-14 03:33:00,24.57,50.15
317,1,176,184,2025-01-14 04:00:00,2025-01-14 05:04:00,10.68,369.9
318,14,141,62,2025-01-14 05:00:00,2025-01-14 05:42:00,9.23,328.35
319,7,141,73,2025-01-14 06:00:00,2025-01-14 07:15:00,35.37,220.52
320,5,46,114,2025-01-14 07:00:00,2025-01-14 08:47:00,34.96,342.53
321,4,38,183,2025-01-14 08:00:00,2025-01-14 09:47:00,16.88,349.88
322,20,83,184,2025-01-14 09:00:00,2025-01-14 10:46:00,32.2,325.51
323,18,54,151,2025-01-14 10:00:00,2025-01-14 11:42:00,42.66,140.7
324,17,41,16,2025-01-14 11:00:00,2025-01-14 11:44:00,38.56,188.55
325,8,137,171,2025-01-14 12:00:00,2025-01-14 13:36:00,16.82,443.51
326,12,1,34,2025-01-14 13:00:00,2025-01-14 13:31:00,10.33,425.98
327,3,33,167,2025-01-14 14:00:00,2025-01-14 14:33:00,7.05,201.43
328,9,141,118,2025-01-14 15:00:00,2025-01-14 15:20:00,25.15,494.8
329,9,21,31,2025-01-14 16:00:00,2025-01-14 17:23:00,23.3,476.11
330,7,115,109,2025-01-14 17:00:00,2025-01-14 17:35:00,35.05,370.51
331,2,16,42,2025-01-14 18:00:00,2025-01-14 19:22:00,35.73,142.66
